id;name
848;Barnitz
849;Barnstedt
850;Barnstorf
851;Barnstädt
852;Barntrup
853;Barsbek
854;Barsbüttel
855;Barsdorf
856;Barsikow
857;Barsinghausen
858;Bartelshagen II
859;Bartenshagen
860;Bartensleben
861;Barth
862;Bartholomä
863;Bartow
864;Barum
865;Baruth
866;Barver
867;Barwedel
868;Barweiler
869;Barzig
870;Barßel
871;Basberg
872;Basdahl
873;Basdorf
874;Basedow
875;Bassenheim
876;Bassum
877;Bastheim
878;Basthorst
879;Bastorf
880;Battaune
881;Battenberg
882;Battgendorf
883;Battin
884;Battinsthal
885;Battweiler
886;Batzlow
887;Bauda
888;Baudenbach
889;Bauerbach
890;Bauerkuhl
891;Bauler
892;Baumersroda
893;Baumgarten
894;Baumholder
895;Baunach
896;Baunatal
897;Bausendorf
898;Baustert
899;Bautzen
900;Bawinkel
901;Bayerbach
902;Bayerfeld-Steckweiler
903;Bayerisch Eisenstein
904;Bayerisch Gmain
905;Bayreuth
906;Bayrischzell
907;Bebendorf
908;Bebensee
909;Beberstedt
910;Bebertal
911;Beblinstetten
912;Bebra
913;Becheln
914;Bechelsdorf
915;Bechenheim
916;Becherbach
917;Bechhofen
918;Bechstedt
919;Bechstedtstraß
920;Bechtheim
921;Bechtolsheim
922;Bechtsrieth
923;Beckdorf
924;Beckedorf
925;Beckedorfer Schacht
926;Beckeln
927;Beckendorf
928;Beckenhof
929;Beckenkrug
930;Beckentin
931;Beckingen
932;Beckum
933;Bedburg
934;Bedburg-Hau
935;Bedesbach
936;Beedenbostel
937;Beelen
938;Beelitz
939;Beendorf
940;Beenz
941;Beerbaum
942;Beerfelde
943;Beerfelden
944;Beesdau
945;Beesenlaublingen
946;Beesenstedt
947;Beeskow
948;Beesten
949;Beestland
950;Beetz
951;Beetzendorf
952;Beggerow
953;Behlendorf
954;Behlow
955;Behnkendorf
956;Behnsdorf
957;Behren-Lübchin
958;Behrendorf
959;Behrenhoff
960;Behrensdorf
961;Behringen
962;Behringer Schenke
963;Behrungen
964;Bei den Tongruben
965;Beicha
966;Beichlingen
967;Beidendorf
968;Beidenfleth
969;Beierfeld
970;Beiersdorf
971;Beierstedt
972;Beilingen
973;Beilngries
974;Beilrode
975;Beilstein
976;Beimerstetten
977;Beindersheim
978;Beinerstadt
979;Beinhausen
980;Bekdorf
981;Bekmünde
982;Bekond
983;Belau
984;Beldorf
985;Belg
986;Belgern
987;Belgershain
988;Belgweiler
989;Bell
990;Belleben
991;Bellenberg
992;Bellers
993;Bellevue
994;Bellheim
995;Bellin
996;Belling
997;Bellingen
998;Bellstedt
999;Belm
1000;Below
1001;Belrieth
1002;Belsch
1003;Belsdorf
1004;Beltheim
1005;Belum
1006;Belzhof
1007;Belzig
1008;Bembermühle
1009;Bembsmühle
1010;Bempflingen
1011;Benckendorf
1012;Bendeleben
1013;Bendelin
1014;Bendestorf
1015;Bendfeld
1016;Bendhof
1017;Bendorf
1018;Benediktbeuern
1019;Bengel
1020;Benitz
1021;Benjental
1022;Benken
1023;Benkendorf
1024;Benkendorf b Salzmünde
1025;Benndorf
1026;Benneckenstein
1027;Bennewitz
1028;Bennhausen
1029;Bennin
1030;Benningen
1031;Bennstedt
1032;Bennungen
1033;Benratherhof
1034;Bensdorf
1035;Benshausen
1036;Bensheim
1037;Bentwisch
1038;Bentzin
1039;Benz
1040;Benzin
1041;Benzweiler
1042;Beratzhausen
1043;Berbisdorf
1044;Berching
1045;Berchtesgaden
1046;Bereborn
1047;Berenbach
1048;Berenbrock
1049;Berendshagen
1050;Berg
1051;Berg im Gau
1052;Berga
1053;Bergatreute
1054;Berge
1055;Bergen
1056;Bergenhausen
1057;Bergenhusen
1058;Bergerdamm
1059;Bergerhof
1060;Bergewöhrden
1061;Bergfeld
1062;Bergfelde
1063;Berghaupten
1064;Berghausen
1065;Bergheim
1066;Berghof
1067;Bergholz
1068;Bergholz-Rehbrücke
1069;Berghülen
1070;Bergisch Gladbach
1071;Bergisdorf
1072;Bergkamen
1073;Bergkirchen
1074;Berglage
1075;Berglangenbach
1076;Berglen
1077;Berglern
1078;Berglicht
1079;Bergmühle
1080;Bergneustadt
1081;Bergrade Dorf
1082;Bergrheinfeld
1083;Bergschäferei
1084;Bergsdorf
1085;Bergtheim
1086;Bergweiler
1087;Bergwitz
1088;Bergzow
1089;Beringstedt
1090;Berka
1091;Berka v d Hainich
1092;Berkach
1093;Berkatal
1094;Berkau
1095;Berkenbrück
1096;Berkenthin
1097;Berkheim
1098;Berkholz-Meyenburg
1099;Berkoth
1100;Berlin
1101;Berlinchen
1102;Berlingen
1103;Berlingerode
1104;Berlstedt
1105;Bermatingen
1106;Bermbach
1107;Bermel
1108;Bermersheim
1109;Bernau
1110;Bernbeuren
1111;Bernburg
1112;Berndorf
1113;Berndroth
1114;Berne
1115;Berneck
1116;Berngau
1117;Bernhalden
1118;Bernhardswald
1119;Bernheide
1120;Bernitt
1121;Bernkastel-Kues
1122;Bernried
1123;Bernsbach
1124;Bernsdorf
1125;Bernsgrün
1126;Bernstadt
1127;Bernstorf
1128;Bernterode
1129;Bernöwe
1130;Berod
1131;Berscheid
1132;Berschweiler
1133;Bersenbrück
1134;Berthelsdorf
1135;Bertholling
1136;Bertikow
1137;Bertingen
1138;Bertkow
1139;Bertsdorf-Hörnitz
1140;Berumbur
1141;Berzhahn
1142;Berzhausen
1143;Berßel
1144;Besandten
1145;Bescheid
1146;Beschendorf
1147;Besdorf
1148;Beselich
1149;Besenthal
1150;Beseritz
1151;Besigheim
1152;Besitz
1153;Bessenbach
1154;Bestenrade
1155;Bestensee
1156;Bestwig
1157;Bethanien
1158;Bethau
1159;Betheln
1160;Bethenhausen
1161;Betteldorf
1162;Betten
1163;Bettendorf
1164;Bettenfeld
1165;Bettenhausen
1166;Bettingen
1167;Betzdorf
1168;Betzendorf
1169;Betzenhausen
1170;Betzenstein
1171;Betzenweiler
1172;Betzigau
1173;Betzin
1174;Betzweiler-Wälde
1175;Beucha
1176;Beuchow
1177;Beuernfeld
1178;Beughorst
1179;Beulbar-Ilmsdorf
1180;Beulich
1181;Beulwitz
1182;Beuna
1183;Beuren
1184;Beurenermühle
1185;Beuron
1186;Beuster
1187;Beutel
1188;Beutelsbach
1189;Beutelsdorf
1190;Beutenmühle
1191;Beutersitz
1192;Beveringen
1193;Bevern
1194;Beverstedt
1195;Beverungen
1196;Bexbach
1197;Beyern
1198;Beyernaumburg
1199;Bias
1200;Biberach
1201;Biberau
1202;Biberbach
1203;Bibersohl
1204;Bibertal
1205;Biblis
1206;Bibow
1207;Bibra
1208;Biburg
1209;Bichl
1210;Bicken
1211;Bickenbach
1212;Bickendorf
1213;Bickenriede
1214;Bickhusen
1215;Bidingen
1216;Biebelnheim
1217;Biebelried
1218;Biebelsheim
1219;Bieberehren
1220;Biebergemünd
1221;Biebern
1222;Biebersdorf
1223;Bieberstein
1224;Biebertal
1225;Biebesheim
1226;Biebing
1227;Biebrich
1228;Biedenkopf
1229;Biederbach
1230;Biederitz
1231;Biedershausen
1232;Biedesheim
1233;Biegen
1234;Biehlen
1235;Biehlerhof
1236;Bielefeld
1237;Bielen
1238;Biendorf
1239;Bienenbüttel
1240;Bienstädt
1241;Biere
1242;Biermühle
1243;Biersackschlag
1244;Bierschbacher Mühle
1245;Biersdorf am See
1246;Bierstedt
1247;Biesdorf
1248;Biesenbrow
1249;Biesendahlshof
1250;Biesenrode
1251;Biesenthal
1252;Biessenhofen
1253;Biesterholz
1254;Bietigheim
1255;Bietigheim-Bissingen
1256;Bietikow
1257;Bilkheim
1258;Billeben
1259;Billerbeck
1260;Billigheim
1261;Billigheim-Ingenheim
1262;Billroda
1263;Bilsen
1264;Bilshausen
1265;Bilzingsleben
1266;Bimöhlen
1267;Binau
1268;Binde
1269;Bindfelde
1270;Bindlach
1271;Bindow
1272;Bingen
1273;Bingenheimer Mühle
1274;Binnen
1275;Binningen
1276;Binnrot
1277;Binsfeld
1278;Binswangen
1279;Binzen
1280;Bippen
1281;Birenbach
1282;Birgel
1283;Birgland
1284;Birkachhof
1285;Birken-Honigsessen
1286;Birkenau
1287;Birkenbeul
1288;Birkenfeld
1289;Birkenfelde
1290;Birkenhain
1291;Birkenheide
1292;Birkenhof
1293;Birkenhördt
1294;Birkenhügel
1295;Birkenschäferei
1296;Birkenstein
1297;Birkenstöcke
1298;Birkenteich
1299;Birkenwerder
1300;Birkheim
1301;Birkhof
1302;Birkholz
1303;Birkhorst
1304;Birkigt
1305;Birkungen
1306;Birkweiler
1307;Birlenbach
1308;Birnbach
